feature_threshold,sample_threshold,fusion_jaccard_threshold,onmi,n_biclusters,time, n_unique_samples
0.5,1.13,0.7,0.16520516869592355,4,16.928539276123047,42
0.75,1.13,0.7,0.22489432624876068,5,13.052239656448364,46
1.0,1.13,0.7,0.17307004372681944,5,11.290924787521362,45
1.25,1.13,0.7,0.2068135323965144,7,11.454620838165283,46
1.5,1.13,0.7,0.22233168479161822,6,9.26782512664795,53
1.75,1.13,0.7,0.21689139105669525,6,9.594145059585571,57
2.0,1.13,0.7,0.24136133434607698,5,8.1023530960083,56
2.25,1.13,0.7,0.23864224963399666,6,7.981765031814575,62
2.5,1.13,0.7,0.2180504059333183,4,7.529834985733032,57
2.75,1.13,0.7,0.31528472925503276,11,7.689965724945068,79
3.0,1.13,0.7,0.3190474612165505,11,7.763904094696045,87
3.25,1.13,0.7,0.4194640127768704,19,7.357015132904053,94
3.5,1.13,0.7,0.4044492610992045,16,7.9170451164245605,91
3.75,1.13,0.7,0.33034446449420496,14,7.541804075241089,88
4.0,1.13,0.7,0.32373425276875506,16,7.334150314331055,74
